Seed,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,std_test_score,testing_accuracy
11,,4,6,50,0.8300797793755539,0.022173466806308252,0.88268156424581
11,,4,4,50,0.8300797793755539,0.022173466806308252,0.88268156424581
11,,4,2,50,0.8300797793755539,0.022173466806308252,0.88268156424581
11,,2,4,100,0.8146360681571949,0.026639249245318703,0.8770949720670391
11,,2,6,50,0.8258938244853737,0.03084543384489574,0.8770949720670391
11,,2,2,100,0.8146360681571949,0.026639249245318703,0.8770949720670391
11,,2,6,100,0.8244755244755245,0.02272942335958995,0.8770949720670391
11,,4,4,100,0.8244755244755245,0.024815586947947,0.8715083798882681
11,,4,2,100,0.8244755244755245,0.024815586947947,0.8715083798882681
11,,4,6,100,0.8244755244755245,0.024815586947947,0.8715083798882681
11,5,1,4,50,0.8202501723628485,0.025535224738743,0.8715083798882681
11,5,4,4,100,0.8146360681571949,0.022611418834980804,0.8659217877094972
11,5,4,2,50,0.8132374667585935,0.0250309323770157,0.8659217877094972
11,5,2,4,100,0.8118191667487442,0.0242338036780268,0.8659217877094972
11,5,2,2,100,0.8118191667487442,0.0242338036780268,0.8659217877094972
11,5,1,6,50,0.8202600216684723,0.023450044612096592,0.8659217877094972
11,5,1,4,100,0.8202403230572244,0.023569913127233673,0.8659217877094972
11,5,4,2,100,0.8146360681571949,0.022611418834980804,0.8659217877094972
11,5,4,4,50,0.8132374667585935,0.0250309323770157,0.8659217877094972
11,5,4,6,100,0.8146360681571949,0.022611418834980804,0.8659217877094972
11,5,4,6,50,0.8132374667585935,0.0250309323770157,0.8659217877094972
11,,2,4,50,0.8230572244656752,0.025059564123832007,0.8659217877094972
11,,2,2,50,0.8230572244656752,0.025059564123832007,0.8659217877094972
11,,1,4,100,0.81604451886142,0.023354437895217937,0.8659217877094972
11,5,1,2,50,0.818831872352999,0.019409265677243867,0.8603351955307262
11,5,2,6,100,0.8132177681473456,0.021816810021819424,0.8603351955307262
11,5,2,6,50,0.8216586230670739,0.028403519022390657,0.8603351955307262
11,5,2,4,50,0.8202698709740964,0.034551970580181335,0.8603351955307262
11,,1,6,100,0.8174431202600216,0.02102064271609125,0.8603351955307262
11,5,2,2,50,0.8202698709740964,0.034551970580181335,0.8603351955307262
11,5,1,6,100,0.810420565350143,0.02277326023305644,0.8603351955307262
11,,1,4,50,0.8146656160740667,0.029228079547664643,0.8603351955307262
11,5,1,2,100,0.8160346695557964,0.021706350139151936,0.8603351955307262
11,,1,6,50,0.8188614202698711,0.02375068509928266,0.8547486033519553
11,,1,2,100,0.7865458485176795,0.030064908214559028,0.8491620111731844
11,,1,2,50,0.780921895006402,0.032289436959116534,0.8435754189944135
11,2,4,6,100,0.7935881020388063,0.03215403233908868,0.8435754189944135
11,2,4,4,100,0.7935881020388063,0.03215403233908868,0.8435754189944135
11,2,4,2,100,0.7935881020388063,0.03215403233908868,0.8435754189944135
11,2,1,6,100,0.7949965527430316,0.03175376112468829,0.8379888268156425
11,2,1,2,100,0.7949965527430316,0.03175376112468829,0.8379888268156425
11,2,1,4,100,0.7949965527430316,0.03175376112468829,0.8379888268156425
11,2,2,2,100,0.7949965527430316,0.03175376112468829,0.8379888268156425
11,2,2,6,100,0.7949965527430316,0.03175376112468829,0.8379888268156425
11,2,2,4,100,0.7949965527430316,0.03175376112468829,0.8379888268156425
11,2,2,6,50,0.7781345415148232,0.03362362237743671,0.8268156424581006
11,2,2,4,50,0.7781345415148232,0.03362362237743671,0.8268156424581006
11,2,4,6,50,0.7795429922190487,0.032999798279681455,0.8268156424581006
11,2,2,2,50,0.7781345415148232,0.03362362237743671,0.8268156424581006
11,2,4,2,50,0.7795429922190487,0.032999798279681455,0.8268156424581006
11,2,4,4,50,0.7795429922190487,0.032999798279681455,0.8268156424581006
11,2,1,6,50,0.7781345415148232,0.03362362237743671,0.8156424581005587
11,2,1,4,50,0.7781345415148232,0.03362362237743671,0.8156424581005587
11,2,1,2,50,0.7781345415148232,0.03362362237743671,0.8156424581005587
