Seed,param_C,param_gamma,param_kernel,mean_test_score,std_test_score,testing_accuracy
11,10,0.1,rbf,0.796375455530385,0.026762493658565,0.888268156424581
11,10,scale,rbf,0.8005712597261893,0.02399864919822424,0.8770949720670391
11,10,auto,rbf,0.799182507633212,0.028454887707496396,0.8770949720670391
11,0.1,auto,rbf,0.7893233527036344,0.01409328602979228,0.8659217877094972
11,0.1,0.1,rbf,0.7921205555008372,0.010776346689970651,0.8659217877094972
11,1,scale,rbf,0.7893233527036344,0.017760431108688295,0.8603351955307262
11,1,auto,rbf,0.7921402541120851,0.019070412645309825,0.8603351955307262
11,1,0.1,rbf,0.7921402541120851,0.019070412645309825,0.8603351955307262
11,0.1,scale,rbf,0.7893233527036343,0.012574443048142812,0.8547486033519553
11,1,1,rbf,0.7809218950064021,0.05199902263291039,0.8324022346368715
11,10,1,rbf,0.7823007977937555,0.034650881856062674,0.8324022346368715
11,0.1,1,rbf,0.7879641485275288,0.0327607301036469,0.8156424581005587
